"filename", "language", "JavaScript", "comment", "blank", "total"
"c:\Users\yumej\github\nikoichi\src\components\ChatListener.js", "JavaScript", 87, 9, 19, 115
"c:\Users\yumej\github\nikoichi\src\components\FromPartnerCard.js", "JavaScript", 185, 3, 24, 212
"c:\Users\yumej\github\nikoichi\src\components\InputToolbar.js", "JavaScript", 69, 0, 4, 73
"c:\Users\yumej\github\nikoichi\src\components\ProfileList.js", "JavaScript", 203, 4, 15, 222
"c:\Users\yumej\github\nikoichi\src\components\ProfileSelect.js", "JavaScript", 207, 9, 26, 242
"c:\Users\yumej\github\nikoichi\src\components\ProfileSettings.js", "JavaScript", 42, 0, 6, 48
"c:\Users\yumej\github\nikoichi\src\components\SwipeCard.js", "JavaScript", 181, 1, 22, 204
"c:\Users\yumej\github\nikoichi\src\components\UserProfile.js", "JavaScript", 168, 3, 15, 186
"Total", "-", 1142, 29, 131, 1302
